"","STATION","STATION_NAME","DATE","PRCP","days","total.precip","max.flag","cooksd","tc.station"
"121","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,2.82,"Normal",0.107015223723165,"PGC1"
"122","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970319",1.51,1997-03-19,1.27,"Normal",0.04237347862941,"PGC1"
"123","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970916",0.95,1997-09-16,1.9,"Normal",0.0420917892516196,"PGC1"
"124","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971030",2.04,1997-10-30,1.84,"Normal",0.095579157599101,"PGC1"
"125","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971216",2.57,1997-12-16,2.62,"Normal",0.0745716998532993,"PGC1"
"126","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980114",1.16,1998-01-14,1.86,"Normal",0.0261485079119145,"PGC1"
"127","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981113",2.59,1998-11-13,1.54,"Normal",1.21237077312803,"PGC1"
"128","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981120",2.42,1998-11-20,3.34,"Normal",0.133950320557527,"PGC1"
"129","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981125",3.06,1998-11-25,3.15,"Normal",0.132472957398625,"PGC1"
"130","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990127",1.32,1999-01-27,2.09,"Normal",0.0405628758713822,"PGC1"
"131","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990128",2.25,1999-01-28,2.95,"Normal",0.0459516457687609,"PGC1"
"132","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990303",1.31,1999-03-03,0.94,"Normal",0.0452659739751245,"PGC1"
"133","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991215",2.53,1999-12-15,2.36,"Normal",0.18013131032558,"PGC1"
"134","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19891108",0.92,1989-11-08,0.6,"Normal",0.0192514801763974,"PPE1"
"135","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19900106",1.28,1990-01-06,1.81,"Normal",0.0154134996902271,"PPE1"
"136","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19900109",3.82,1990-01-09,3.86,"Normal",0.657801408569112,"PPE1"
"137","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19900603",0.89,1990-06-03,0.41,"Normal",0.0313992226238236,"PPE1"
"138","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19901109",1.52,1990-11-09,2.23,"Normal",0.0468229109887242,"PPE1"
"139","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19901123",2.54,1990-11-23,3.57,"Normal",0.245663981438101,"PPE1"
"140","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19910302",0.92,1991-03-02,1.58,"Normal",0.0205072957669985,"PPE1"
"141","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19910303",0.88,1991-03-03,1.51,"Normal",0.0170274916836978,"PPE1"
"142","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19910403",1.82,1991-04-03,2.58,"Normal",0.0681612761876422,"PPE1"
"143","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19911119",0.83,1991-11-19,1.59,"Normal",0.025248586930707,"PPE1"
"144","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920123",1.25,1992-01-23,1.78,"Normal",0.0151605860497036,"PPE1"
"145","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920416",1.7,1992-04-16,1.75,"Normal",0.0181622081384419,"PPE1"
"146","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19920923",1.16,1992-09-23,1,"Normal",0.0176823976868607,"PPE1"
"147","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19930124",0.91,1993-01-24,1.82,"Normal",0.0454653924853058,"PPE1"
"148","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19940213",1.5,1994-02-13,2.09,"Normal",0.0247928823047818,"PPE1"
"149","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19940302",0.83,1994-03-02,0.39,"Normal",0.0231247083646676,"PPE1"
"150","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941219",1.37,1994-12-19,2.26,"Normal",0.0804006491899961,"PPE1"
"151","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941226",2.45,1994-12-26,3.13,"Normal",0.0425962236225629,"PPE1"
"152","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951108",1.13,1995-11-08,2.01,"Normal",0.0588988062157627,"PPE1"
"153","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951129",2.37,1995-11-29,2.6,"Normal",0.0199373840558251,"PPE1"
"154","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960120",1,1996-01-20,1.6,"Normal",0.0176697584535938,"PPE1"
"155","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,2.69,"Normal",0.240729484110535,"PPE1"
"156","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960422",1.36,1996-04-22,1.9,"Normal",0.0170908402196564,"PPE1"
"157","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960423",2.31,1996-04-23,3.36,"Normal",0.242951297100889,"PPE1"
"158","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961119",0.86,1996-11-19,0.31,"Normal",0.0355510040215907,"PPE1"
"159","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961127",1.1,1996-11-27,1.69,"Normal",0.0188700455607228,"PPE1"
"160","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961229",0.01,1996-12-29,1.34,"Normal",0.0219122302036079,"PPE1"
"161","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970101",0.83,1997-01-01,0.01,"Normal",0.06277065065471,"PPE1"
"162","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,1.99,"Normal",0.0219509895903491,"PPE1"
"163","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970531",0.94,1997-05-31,1.72,"Normal",0.0326463368821799,"PPE1"
"164","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970915",0.96,1997-09-15,0.63,"Normal",0.0225048504286956,"PPE1"
"165","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971216",2.57,1997-12-16,2.75,"Normal",0.0509563951393826,"PPE1"
"166","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980114",1.16,1998-01-14,2.05,"Normal",0.0631075490508321,"PPE1"
"167","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981227",2.58,1998-12-27,2.81,"Normal",0.0343804443615227,"PPE1"
"168","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990128",2.25,1999-01-28,2.33,"Normal",0.052483466787301,"PPE1"
"169","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990202",1.24,1999-02-02,1.11,"Normal",0.0185572921318035,"PPE1"
"170","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990206",0.95,1999-02-06,0.43,"Normal",0.0417764378386544,"PPE1"
"171","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990207",0.93,1999-02-07,0,"Normal",0.101283855413427,"PPE1"
"172","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990303",1.31,1999-03-03,1.01,"Normal",0.0484000642678134,"PPE1"
"173","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991120",0.79,1999-11-20,0,"Normal",0.0526033745619841,"PPE1"
"174","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991125",1.66,1999-11-25,1.71,"Normal",0.0163178978937125,"PPE1"
"175","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19991215",2.53,1999-12-15,2.34,"Normal",0.276484682538903,"PPE1"
"176","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,3.38,"Normal",0.0540420614336902,"PSC1"
"177","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941130",2.5,1994-11-30,2.24,"Normal",0.149651476026403,"PSC1"
"178","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19950131",1.36,1995-01-31,0.96,"Normal",0.0533017746924583,"PSC1"
"179","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19950219",1.64,1995-02-19,2.36,"Normal",0.108162532367907,"PSC1"
"180","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951010",1.97,1995-10-10,2.44,"Normal",0.0474872954397825,"PSC1"
"181","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951108",1.13,1995-11-08,1.86,"Normal",0.0562695785247305,"PSC1"
"182","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19951129",2.37,1995-11-29,2.85,"Normal",0.0645224110524651,"PSC1"
"183","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19960208",2.75,1996-02-08,3.67,"Normal",0.496929809424664,"PSC1"
