STATION,STATION_NAME,DATE,PRCP
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890101,0.06
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890102,0.14
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890103,0.40
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890104,0.11
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890105,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890106,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890107,0.10
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890108,0.56
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890109,0.30
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890110,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890111,0.01
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890112,0.12
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890113,0.65
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890114,0.25
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890115,0.68
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890116,0.68
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890117,0.17
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890118,0.28
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890119,0.00
GHCND:USW00024227,OLYMPIA AIRPORT WA US,19890120,0.09
